Testheader viscosity
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 240 350.59 894.978 1346.43 1163.97 1078.78 324.184 855.642 858.986 437.512
 320 535.039 1257.38 2372.96 1763.99 1455 180.997 1133.33 1235.38 652.321
 400 767.154 1751.03 3442.83 2285.68 1787.72 340.256 1471.22 1677.53 471.561
 480 1060.78 2237.44 4992.14 2537.96 2045.64 575.522 1719.71 2137.21 428.311
 560 1265.26 3145.66 6625.96 2200.17 2079.89 281.719 1520.59 2383.94 471.934
 640 1405.36 4115.37 8800.76 2208.51 1803.88 243.938 1418.78 2760.8 334.858
 720 2064.87 5187.02 11751 2344.48 1217.63 308.184 1290.1 3307.78 120.805
 800 1969.95 5513.61 12934.9 2604.48 556.184 128.958 1096.54 3380.38 80.1796
 880 2401.05 5935.54 15389.6 3050.14 227.196 75.6347 1117.66 3834.09 15.6674
 960 4030.77 4516.03 17079.8 3431.61 61.9517 16.0265 1169.86 4118.8 50.7311
