# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
1.76318 0	0	0	0	0	0	
1.77335 0	0	0	0	0	0	
1.78351 0	0	0	0	0	0	
1.79367 0	0	0	0	0	0	
1.80383 0	0	0	0	0	0	
1.81399 0	0	0	0	0	0	
1.82416 0	0	0	0	0	0	
1.83432 0	0	0	0	0	0	
1.84448 0	0	0	0	0	0	
1.85464 0	0	0	0	0	0	
1.86481 0	0	0	0	0	0	
1.87497 0	0	0	0	0	0	
1.88513 0	0	0	0	0	0	
1.89529 0	0	0	0	0	0	
1.90546 0	0	0	0	0	0	
1.91562 0	0	0	0	0	0	
1.92578 0	0	0	0	0	0	
1.93594 0	0	0	0	0	0	
1.94611 0	0	0	0	0	0	
1.95627 0	0	0	0	0	0	
1.96643 0	0	0	0	0	0	
1.97659 0	0	0	0	0	0	
1.98676 0	0	0	0	0	0	
1.99692 0	0	0	0	0	0	
2.00708 0	0	0	0	0	0	
2.01724 0	0	0	0	0	0	
2.02741 0	0	0	0	0	0	
2.03757 0	0	0	0	0	0	
2.04773 0	0	0	0	0	0	
2.05789 0	0	0	0	0	0	
2.06806 0	0	0	0	0	0	
2.07822 0	0	0	0	0	0	
2.08838 0	0	0	0	0	0	
2.09854 0	0	0	0	0	0	
2.10871 0	0	0	0	0	0	
2.11887 0	0	0	0	0	0	
2.12903 0	0	0	0	0	0	
2.13919 0	0	0	0	0	0	
2.14936 0	0	0	0	0	0	
2.15952 0	0	0	0	0	0	
2.16968 0	0	0	0	0	0	
2.17984 0	0	0	0	0	0	
2.19 0	0	0	0	0	0	
2.20017 0	0	0	0	0	0	
2.21033 0	0	0	0	0	0	
2.22049 0	0	0	0	0	0	
2.23065 0	0	0	0	0	0	
2.24082 0	0	0	0	0	0	
2.25098 0	0	0	0	0	0	
2.26114 0	0	0	0	0	0	
2.2713 0	0	0	0	0	0	
2.28147 0	0	0	0	0	0	
2.29163 0	0	0	0	0	0	
2.30179 0	0	0	0	0	0	
2.31195 0	0	0	0	0	0	
2.32212 0	0	0	0	0	0	
2.33228 0	0	0	0	0	0	
2.34244 0	0	0	0	0	0	
2.3526 0.000322515	0.000323062	5.37525e-05	5.36283e-05	0	0	
2.36277 0.000319747	0.000320279	0.000106582	0.000106333	0	0	
2.37293 0.00105671	0.00105844	0.000105671	0.000105421	0	0	
2.38309 0.00136204	0.00136422	0.000419088	0.000418081	0.000209544	0.00020988	
