Equimolar mixture of water-methanol at 298 K and 1 atm
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 4000 8.84988e+12 8.1009e+12 6.96924e+12 8.11405e+12 8.17058e+12 7.70165e+12 7.99543e+12 7.98659e+12 1.31222e+13
 8000 2.13132e+13 2.03692e+13 1.6584e+13 1.92152e+13 2.04406e+13 1.8223e+13 1.92929e+13 1.93446e+13 3.33178e+13
 12000 3.22686e+13 3.26128e+13 2.55359e+13 3.0405e+13 3.34907e+13 2.83538e+13 3.07498e+13 3.05055e+13 5.55529e+13
 16000 4.39708e+13 4.5537e+13 3.40079e+13 4.04494e+13 4.75438e+13 3.73337e+13 4.17756e+13 4.15341e+13 7.69305e+13
 20000 5.52243e+13 5.82008e+13 4.26661e+13 5.1635e+13 6.13856e+13 4.45105e+13 5.25104e+13 5.23184e+13 9.83939e+13
 24000 6.53584e+13 7.03093e+13 5.15629e+13 6.42856e+13 7.58348e+13 5.18773e+13 6.39992e+13 6.33636e+13 1.20197e+14
 28000 7.65533e+13 8.35519e+13 6.1297e+13 7.98703e+13 9.18672e+13 5.97508e+13 7.71628e+13 7.58179e+13 1.41883e+14
 32000 8.87142e+13 9.89593e+13 7.16984e+13 9.6121e+13 1.10368e+14 6.79621e+13 9.14838e+13 8.94732e+13 1.64463e+14
 36000 1.0144e+14 1.15194e+14 8.07658e+13 1.14116e+14 1.28852e+14 7.6466e+13 1.06478e+14 1.0354e+14 1.88071e+14
 40000 1.1374e+14 1.32174e+14 8.98785e+13 1.31207e+14 1.47094e+14 8.56399e+13 1.21314e+14 1.17561e+14 2.1275e+14
 44000 1.25375e+14 1.48649e+14 9.97563e+13 1.48312e+14 1.64009e+14 9.65685e+13 1.36296e+14 1.31615e+14 2.37814e+14
 48000 1.38345e+14 1.64704e+14 1.09871e+14 1.6435e+14 1.80153e+14 1.08488e+14 1.50997e+14 1.45654e+14 2.61399e+14
 52000 1.51822e+14 1.81064e+14 1.18786e+14 1.81973e+14 1.95024e+14 1.20617e+14 1.65871e+14 1.59746e+14 2.84014e+14
 56000 1.66816e+14 1.97572e+14 1.27224e+14 2.00058e+14 2.0763e+14 1.30358e+14 1.79349e+14 1.73158e+14 3.05947e+14
 60000 1.82786e+14 2.14335e+14 1.34907e+14 2.19385e+14 2.1958e+14 1.37259e+14 1.92074e+14 1.86182e+14 3.2684e+14
 64000 1.98054e+14 2.3133e+14 1.42112e+14 2.38071e+14 2.3247e+14 1.42422e+14 2.04321e+14 1.98792e+14 3.45027e+14
 68000 2.1291e+14 2.49779e+14 1.50836e+14 2.56002e+14 2.45437e+14 1.48935e+14 2.16792e+14 2.11878e+14 3.62836e+14
 72000 2.2773e+14 2.68512e+14 1.60658e+14 2.71092e+14 2.58719e+14 1.57707e+14 2.29173e+14 2.2509e+14 3.78842e+14
 76000 2.4187e+14 2.88357e+14 1.70953e+14 2.8728e+14 2.72575e+14 1.68109e+14 2.42655e+14 2.39083e+14 3.96882e+14
 80000 2.56145e+14 3.08541e+14 1.81136e+14 3.01599e+14 2.85727e+14 1.78508e+14 2.55278e+14 2.5261e+14 4.14546e+14
 80000 2.48229e+14 3.09203e+14 2.09425e+14 3.76813e+14 2.83433e+14 1.29391e+14 2.63212e+14 2.60175e+14 4.09979e+14
 160000 4.49619e+14 7.44029e+14 5.71781e+14 6.69976e+14 6.31141e+14 3.09465e+14 5.36861e+14 5.57507e+14 8.80288e+14
 240000 7.92576e+14 1.17027e+15 7.86173e+14 7.07819e+14 1.12955e+15 5.49727e+14 7.957e+14 8.43956e+14 1.33958e+15
 320000 1.17169e+15 1.75763e+15 9.28661e+14 7.18574e+14 1.70256e+15 7.68061e+14 1.06306e+15 1.15224e+15 1.44754e+15
 400000 1.56074e+15 2.94689e+15 1.18039e+15 8.07871e+14 2.04816e+15 8.27232e+14 1.22776e+15 1.49506e+15 1.5039e+15
 480000 1.99708e+15 4.23251e+15 1.70723e+15 1.12207e+15 2.76027e+15 6.36873e+14 1.5064e+15 1.96208e+15 1.61189e+15
 560000 2.10474e+15 5.54009e+15 2.03463e+15 1.7351e+15 3.77611e+15 3.66642e+14 1.95928e+15 2.46616e+15 1.61235e+15
 640000 2.59993e+15 7.09329e+15 2.07481e+15 2.23862e+15 5.01244e+15 1.36299e+14 2.46245e+15 3.04654e+15 1.11e+15
 720000 2.822e+15 8.87212e+15 1.97582e+15 1.84758e+15 7.23137e+15 1.60103e+14 3.07969e+15 3.67047e+15 8.20477e+14
 800000 3.11203e+15 1.18787e+16 2.99159e+15 1.55407e+15 9.44182e+15 2.53061e+14 3.74965e+15 4.64744e+15 1.60342e+14
 880000 2.38104e+15 1.42946e+16 5.14296e+15 1.76082e+15 1.05251e+16 4.73718e+14 4.25322e+15 5.46108e+15 2.11591e+14
 960000 1.04017e+15 1.39393e+16 7.36387e+15 6.3538e+14 1.30638e+16 3.6279e+14 4.68731e+15 5.7915e+15 1.42569e+13
